id,lawd_cd,jibun,umdnm,aptnm,aptdong,floor,buildyear,전용면적타입,전용면적,전용평수,deal_ym,dealyear,dealmonth,dealday,dealamount,buyergbn,cdealday,cdealtype,dealinggbn,estateagentsggnm,landcd,landleaseholdgbn,rgstdate,slergbn,fetched_at
10361,11200,90,송정동,건영,,6,2000,59,59.21,17.9,201501,2015,1,15,27930,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10362,11200,286,성수동2가,성수우방2차아파트,,13,1999,84,84.645,25.7,201501,2015,1,28,37000,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10363,11200,98,응봉동,금호현대,,9,1990,120,120,36.4,201501,2015,1,16,51000,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10364,11200,800,금호동4가,대우,,3,2001,84,84.71,25.7,201501,2015,1,6,49850,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10365,11200,235,금호동4가,서울숲2차푸르지오,,1,2012,84,84.898,25.7,201501,2015,1,16,64000,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10366,11200,837,성수동2가,우성2차,,1,2006,84,84.39,25.6,201501,2015,1,8,34300,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10367,11200,843,성수동2가,서울숲힐스테이트,,7,2009,117,117.13,35.5,201501,2015,1,22,88000,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10368,11200,820,마장동,왕십리금호어울림,,21,2006,84,84.97,25.7,201501,2015,1,6,52250,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10369,11200,704,성수동1가,한진타운,,8,1994,84,84.21,25.5,201501,2015,1,16,50000,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10370,11200,375,행당동,행당두산위브,,7,2009,59,59.99,18.2,201501,2015,1,31,47000,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10371,11200,700,금호동3가,금호자이2차,,5,2012,59,59.9663,18.2,201501,2015,1,28,47400,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10372,11200,347,행당동,대림e-편한세상,,14,2000,84,84.87,25.7,201501,2015,1,17,49300,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10373,11200,917,금호동3가,금호1차푸르지오,,12,2005,84,84.92,25.7,201501,2015,1,10,53000,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
10374,11200,917,금호동3가,금호1차푸르지오,,2,2005,59,59.97,18.2,201501,2015,1,7,41500,,,,,,,N,,,2025-09-06 22:39:06.923 +0900
